City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Marmora,IT,2021-04-24 17:10:35,44.4583,7.094,72.0,42,98,4.61
114,Bethel,US,2021-04-24 17:10:35,41.3712,-73.414,69.01,24,1,5.75
115,Buraydah,SA,2021-04-24 17:10:36,26.326,43.975,93.2,15,20,6.91
116,Provideniya,RU,2021-04-24 17:10:36,64.3833,-173.3,31.96,92,81,1.39
117,Qujing,CN,2021-04-24 17:10:36,25.4833,103.7833,61.68,61,4,5.48
118,Deputatskiy,RU,2021-04-24 17:10:37,69.3,139.9,1.67,87,99,4.25
119,Conde,BR,2021-04-24 17:10:37,-7.2597,-34.9075,86.0,66,40,10.36
120,Jacarezinho,BR,2021-04-24 17:10:37,-23.1606,-49.9694,84.11,34,40,1.28
121,Pallasovka,RU,2021-04-24 17:10:38,50.05,46.8833,50.04,76,67,17.47
122,Tura,IN,2021-04-24 17:10:38,25.5198,90.2201,78.15,29,65,4.32
123,Arraial Do Cabo,BR,2021-04-24 17:10:38,-22.9661,-42.0278,78.8,73,20,10.36
124,Hokitika,NZ,2021-04-24 17:10:39,-42.7167,170.9667,47.98,85,23,3.29
125,Varzea Da Palma,BR,2021-04-24 17:10:39,-17.5981,-44.7308,92.12,22,9,4.34
126,Mongo,TD,2021-04-24 17:10:39,12.1844,18.693,99.25,15,100,10.02
127,Busselton,AU,2021-04-24 17:10:39,-33.65,115.3333,53.01,88,1,1.16
128,Krasnoselkup,RU,2021-04-24 17:10:40,65.7,82.4667,33.46,98,100,7.67
129,Te Anau,NZ,2021-04-24 17:10:40,-45.4167,167.7167,46.44,94,88,8.39
130,Dikson,RU,2021-04-24 17:10:40,73.5069,80.5464,13.96,85,100,18.45
131,Kautokeino,NO,2021-04-24 17:10:41,69.0125,23.0412,26.37,78,100,18.14
132,Alofi,NU,2021-04-24 17:10:41,-19.0595,-169.9187,73.4,94,64,1.14
133,Berdigestyakh,RU,2021-04-24 17:10:41,62.0989,126.6992,26.69,97,92,5.14
134,Xapuri,BR,2021-04-24 17:10:42,-10.6517,-68.5044,87.8,70,75,13.8
135,Mar Del Plata,AR,2021-04-24 17:09:38,-38.0023,-57.5575,68.0,60,40,16.11
136,Upernavik,GL,2021-04-24 17:10:42,72.7868,-56.1549,34.43,86,32,2.86
137,Paamiut,GL,2021-04-24 17:10:42,61.994,-49.6678,37.35,76,47,11.36
138,Avarua,CK,2021-04-24 17:10:43,-21.2078,-159.775,78.8,78,40,12.66
139,Van,TR,2021-04-24 17:10:43,38.4924,43.3831,51.8,71,0,4.61
140,Fortuna,US,2021-04-24 17:10:43,40.5982,-124.1573,52.0,93,75,9.22
141,East London,ZA,2021-04-24 17:10:44,-33.0153,27.9116,64.4,88,0,4.61
142,Zapolyarnyy,RU,2021-04-24 17:10:44,69.4154,30.8136,30.2,100,90,16.11
143,Lazaro Cardenas,MX,2021-04-24 17:07:13,17.9583,-102.2,85.33,49,99,6.55
144,Egvekinot,RU,2021-04-24 17:10:45,66.3167,-179.1667,20.37,88,100,1.74
145,Atyrau,KZ,2021-04-24 17:10:45,47.1167,51.8833,57.2,82,0,11.18
